계정코드,기표여부,사용여부,계정과목,제조,판관
6428261,1,0,6428261 -Chi phí sửa chữa,0,1
8000000,0,0,8000000 -8000000 Chi phí khác,0,1
8110000,0,0,8110000 -Chi phí khác,0,1
8111000,0,0,8111000 -Chi phí khác,0,1
8111100,1,0,"8111100 -Chi phí khác- hợp lý, hợp lệ",0,1
8111200,1,0,"8111200 -Chi phí khác- Không hợp lý, hợp lệ",0,1
8112000,0,0,8112000 -Chi phí khác - Thanh lý tài sản,0,1
8112100,1,0,8112100 -Chi phí khác - Thanh lý tài sản hữu hình,0,1
8112200,1,0,8112200 -Chi phí khác - Thanh lý tài sản vô hình,0,1
8210000,0,0,8210000 -Chi phí thuế thu nhập doanh nghiệp,0,1
8211000,1,0,8211000 -Chi phí thuế TNDN hiện hành,0,1
8212000,1,0,8212000 -Chi phí thuế TNDN hoãn lại,0,1
9000000,0,0,9000000 -9000000 Xác định kết quả kinh doanh,0,1
9110000,1,0,9110000 -Xác định kết quả kinh doanh,0,1
9211100,1,0,9211100-Kết chuyển nhập kho khác NVL chính(1521),0,0
9211200,1,0,9211200-Kết chuyển nhập kho khác NVL phụ(1522),0,0
9211300,1,0,9211300-Kết chuyển nhập kho khác TP,0,0
9211400,1,0,9211400-Kết chuyển nhập kho khác HH,0,0
9211500,1,0,9211500-Kết chuyển từ tài khoản khác ( Nợ TK chi phí dở dang),0,0
9211600,1,0,9211600-Kết chuyển nhập kho khác (Bán thành phẩm),0,0
9211700,1,0,9211700-Kết chuyển nhập kho khác CCDC,0,0
9221100,1,0,"9221100-Kết chuyển xuất kho khác NVL chính(632 hủy, điều chỉnh)",0,0
9221200,1,0,9221200-Kết chuyển xuất kho NVL phụ (6272),0,0
9221300,1,0,9221300-Kết chuyển xuất kho khác TP,0,0
9221400,1,0,9221400-Kết chuyển xuất kho khác HH,0,0
9221500,1,0,9221500-Kết chuyển sang tài khoản khác ( Có TK chi phí dở dang),0,0
9221600,1,0,9221600-Kết chuyển xuất kho khác (Bán thành phẩm),0,0
9221700,1,0,9221700-Kết chuyển chi phí SX chung vượt công suất,0,0
9221800,1,0,"9221800-Kết chuyển xuất kho khác TP (632 hủy, điều chỉnh)",0,0
9221900,1,0,"9221900-Kết chuyển xuất kho khác CCDC (632 hủy, điều chỉnh)",0,0
9222000,1,0,"9222000-Kết chuyển xuất kho khác NVL Phụ (632 hủy, điều chỉnh)",0,0
9222100,1,0,9222100-Kết chuyển xuất kho trả lại hàng mua,0,0
